Sequence,CH1,CH2,Bfield
0,8.8,-1.8,0.000528
1,9.12,-2.4,0.0005472
2,9.12,-1.8,0.0005472
3,8.8,-2.4,0.000528
4,9.12,-1.8,0.0005472
5,8.8,-2.2,0.000528
6,9.12,-2.4,0.0005472
7,8.88,-1.6,0.0005328
8,8.88,-1.8,0.0005328
9,9.2,-2.4,0.0005519999999999999
10,8.88,-2.4,0.0005328
11,9.2,-1.8,0.0005519999999999999
12,9.2,-1.8,0.0005519999999999999
13,8.88,-2.4,0.0005328
14,9.2,-1.8,0.0005519999999999999
15,8.88,-2.4,0.0005328
16,9.2,-1.8,0.0005519999999999999
17,8.96,-2.4,0.0005376
18,8.96,-1.8,0.0005376
19,9.28,-2.4,0.0005567999999999999
20,8.96,-1.8,0.0005376
21,9.28,-2.4,0.0005567999999999999
22,9.28,-1.8,0.0005567999999999999
23,8.96,-2.4,0.0005376
24,8.96,-1.8,0.0005376
25,9.28,-2.4,0.0005567999999999999
26,9.04,-2.4,0.0005424
27,9.36,-1.8,0.0005616
28,9.04,-2.4,0.0005424
29,9.36,-1.8,0.0005616
30,9.04,-1.8,0.0005424
31,9.44,-2.4,0.0005663999999999999
32,9.04,-2.4,0.0005424
33,9.44,-1.8,0.0005663999999999999
34,9.04,-2.4,0.0005424
35,9.36,-1.8,0.0005616
36,9.04,-1.8,0.0005424
37,9.36,-2.4,0.0005616
38,9.12,-1.8,0.0005472
39,9.52,-2.4,0.0005711999999999999
40,9.52,-2.4,0.0005711999999999999
41,9.12,-1.8,0.0005472
42,9.12,-1.8,0.0005472
43,9.52,-2.4,0.0005711999999999999
44,9.12,-2.4,0.0005472
45,9.52,-1.8,0.0005711999999999999
46,9.52,-2.4,0.0005711999999999999
47,9.2,-1.8,0.0005519999999999999
48,9.6,-1.8,0.0005759999999999999
49,9.2,-2.4,0.0005519999999999999
50,9.28,-2.4,0.0005567999999999999
51,9.6,-1.8,0.0005759999999999999
52,9.6,-1.8,0.0005759999999999999
53,9.2,-2.4,0.0005519999999999999
54,9.2,-1.8,0.0005519999999999999
55,9.6,-2.4,0.0005759999999999999
56,9.6,-1.8,0.0005759999999999999
57,9.28,-2.4,0.0005567999999999999
58,9.36,-2.4,0.0005616
59,9.68,-1.8,0.0005807999999999999
60,9.36,-1.8,0.0005616
61,9.68,-2.4,0.0005807999999999999
62,9.68,-1.8,0.0005807999999999999
63,9.36,-2.4,0.0005616
64,9.68,-1.8,0.0005807999999999999
65,9.36,-2.4,0.0005616
66,9.68,-1.8,0.0005807999999999999
67,9.36,-2.4,0.0005616
68,9.44,-1.8,0.0005663999999999999
69,9.76,-2.4,0.0005855999999999999
70,9.76,-2.4,0.0005855999999999999
71,9.44,-1.8,0.0005663999999999999
72,9.44,-2.4,0.0005663999999999999
73,9.76,-1.8,0.0005855999999999999
74,9.76,-1.8,0.0005855999999999999
75,9.44,-2.4,0.0005663999999999999
76,9.44,-1.8,0.0005663999999999999
77,9.76,-2.4,0.0005855999999999999
78,9.52,-1.8,0.0005711999999999999
79,9.84,-2.4,0.0005903999999999999
80,9.84,-1.8,0.0005903999999999999
81,9.52,-2.4,0.0005711999999999999
82,9.52,-1.8,0.0005711999999999999
83,9.84,-2.4,0.0005903999999999999
84,9.52,-2.4,0.0005711999999999999
85,9.84,-1.8,0.0005903999999999999
86,9.6,-1.8,0.0005759999999999999
87,9.92,-2.4,0.0005951999999999999
88,9.92,-1.8,0.0005951999999999999
89,9.6,-2.4,0.0005759999999999999
90,9.92,-2.4,0.0005951999999999999
91,9.6,-1.8,0.0005759999999999999
92,9.6,-1.8,0.0005759999999999999
93,9.92,-2.4,0.0005951999999999999
94,9.92,-2.4,0.0005951999999999999
95,9.6,-1.8,0.0005759999999999999
