Sequence,CH1,CH2,Bfield
163,0.72,-0.8,4.319999999999999e-05
164,0.48,-1.4,2.8799999999999995e-05
165,0.72,-0.8,4.319999999999999e-05
166,0.48,-1.4,2.8799999999999995e-05
167,0.72,-0.8,4.319999999999999e-05
168,0.48,-1.4,2.8799999999999995e-05
169,0.72,-0.8,4.319999999999999e-05
170,0.56,-1.4,3.36e-05
171,0.72,-0.8,4.319999999999999e-05
172,0.56,-1.4,3.36e-05
173,0.8,-0.8,4.7999999999999994e-05
174,0.56,-0.8,3.36e-05
175,0.8,-1.4,4.7999999999999994e-05
176,0.56,-1.4,3.36e-05
177,0.8,-0.8,4.7999999999999994e-05
178,0.8,-1.4,4.7999999999999994e-05
179,0.56,-0.8,3.36e-05
180,0.64,-1.4,3.84e-05
181,0.8,-0.8,4.7999999999999994e-05
182,0.64,-1.4,3.84e-05
183,0.88,-0.8,5.2799999999999996e-05
184,0.88,-1.4,5.2799999999999996e-05
185,0.64,-0.8,3.84e-05
186,0.64,-1.4,3.84e-05
187,0.88,-0.8,5.2799999999999996e-05
188,0.88,-1.4,5.2799999999999996e-05
189,0.64,-0.8,3.84e-05
190,0.64,-1.4,3.84e-05
191,0.96,-0.8,5.759999999999999e-05
192,0.72,-1.4,4.319999999999999e-05
193,0.96,-0.8,5.759999999999999e-05
194,0.72,-0.8,4.319999999999999e-05
195,0.96,-1.4,5.759999999999999e-05
196,0.72,-1.4,4.319999999999999e-05
197,0.96,-0.8,5.759999999999999e-05
198,0.96,-1.4,5.759999999999999e-05
199,0.72,-0.8,4.319999999999999e-05
200,0.8,-1.4,4.7999999999999994e-05
201,1.04,-0.8,6.24e-05
202,0.8,-1.4,4.7999999999999994e-05
203,1.04,-0.8,6.24e-05
204,0.8,-1.4,4.7999999999999994e-05
205,1.04,-0.8,6.24e-05
206,0.8,-1.4,4.7999999999999994e-05
207,1.04,-0.8,6.24e-05
208,1.04,-1.4,6.24e-05
209,0.8,-0.8,4.7999999999999994e-05
210,1.04,-1.4,6.24e-05
211,0.88,-0.8,5.2799999999999996e-05
212,0.88,-1.4,5.2799999999999996e-05
213,1.12,-0.8,6.72e-05
214,0.88,-1.4,5.2799999999999996e-05
215,1.2,-0.8,7.199999999999999e-05
216,0.88,-1.4,5.2799999999999996e-05
217,1.2,-0.8,7.199999999999999e-05
218,1.12,-0.8,6.72e-05
219,0.88,-1.4,5.2799999999999996e-05
220,1.2,-0.8,7.199999999999999e-05
221,0.96,-1.4,5.759999999999999e-05
222,0.96,-1.4,5.759999999999999e-05
223,1.28,-0.8,7.68e-05
224,0.96,-1.4,5.759999999999999e-05
225,1.28,-0.8,7.68e-05
226,1.04,-0.8,6.24e-05
227,1.28,-1.4,7.68e-05
228,1.04,-1.4,6.24e-05
229,1.28,-0.8,7.68e-05
230,1.04,-1.4,6.24e-05
231,1.28,-0.8,7.68e-05
232,1.12,-0.8,6.72e-05
233,1.36,-1.4,8.16e-05
234,1.36,-1.4,8.16e-05
235,1.12,-0.8,6.72e-05
236,1.12,-1.4,6.72e-05
237,1.44,-0.8,8.639999999999999e-05
238,1.36,-1.4,8.16e-05
239,1.12,-0.8,6.72e-05
240,1.2,-0.8,7.199999999999999e-05
241,1.44,-1.4,8.639999999999999e-05
242,1.2,-1.4,7.199999999999999e-05
243,1.44,-0.8,8.639999999999999e-05
244,1.2,-1.4,7.199999999999999e-05
245,1.44,-0.8,8.639999999999999e-05
246,1.2,-0.8,7.199999999999999e-05
247,1.44,-1.6,8.639999999999999e-05
248,1.44,-1.4,8.639999999999999e-05
249,1.28,-0.8,7.68e-05
250,1.44,-1.4,8.639999999999999e-05
251,1.28,-0.8,7.68e-05
252,1.28,-1.4,7.68e-05
253,1.52,-0.8,9.12e-05
254,1.28,-1.4,7.68e-05
255,1.52,-0.8,9.12e-05
256,1.28,-1.4,7.68e-05
257,1.52,-0.8,9.12e-05
258,1.52,-1.4,9.12e-05
259,1.28,-0.8,7.68e-05
260,1.6,-1.4,9.599999999999999e-05
261,1.28,-0.8,7.68e-05
262,1.36,-1.4,8.16e-05
263,1.6,-0.8,9.599999999999999e-05
264,1.6,-0.8,9.599999999999999e-05
265,1.36,-1.4,8.16e-05
266,1.36,-1.6,8.16e-05
267,1.6,-0.8,9.599999999999999e-05
268,1.36,-1.4,8.16e-05
269,1.68,-0.8,0.00010079999999999998
270,1.36,-0.8,8.16e-05
271,1.68,-1.6,0.00010079999999999998
272,1.44,-1.4,8.639999999999999e-05
273,1.68,-0.8,0.00010079999999999998
274,1.44,-1.4,8.639999999999999e-05
275,1.68,-1.0,0.00010079999999999998
276,1.68,-0.8,0.00010079999999999998
277,1.44,-1.6,8.639999999999999e-05
278,1.68,-1.4,0.00010079999999999998
279,1.44,-1.0,8.639999999999999e-05
280,1.52,-1.4,9.12e-05
281,1.76,-1.0,0.00010559999999999999
282,1.76,-1.4,0.00010559999999999999
283,1.52,-1.0,9.12e-05
284,1.76,-1.0,0.00010559999999999999
285,1.52,-1.6,9.12e-05
286,1.76,-1.0,0.00010559999999999999
287,1.52,-1.6,9.12e-05
288,1.76,-1.0,0.00010559999999999999
289,1.6,-1.4,9.599999999999999e-05
290,1.52,-1.0,9.12e-05
291,1.92,-1.6,0.00011519999999999998
292,1.6,-1.4,9.599999999999999e-05
293,1.92,-0.8,0.00011519999999999998
294,1.6,-1.0,9.599999999999999e-05
295,1.92,-1.8,0.00011519999999999998
296,1.6,-1.0,9.599999999999999e-05
297,1.92,-1.6,0.00011519999999999998
298,1.92,-1.6,0.00011519999999999998
299,1.68,-1.0,0.00010079999999999998
300,2.0,-1.0,0.00011999999999999999
301,1.68,-1.8,0.00010079999999999998
302,2.0,-1.4,0.00011999999999999999
