Sequence,CH1,CH2,voltage,Bfield,CH2norm,time
59,0.678,0.0999,207.6,0.0003911339636363637,0.7042253521126771,0.295
60,0.68,0.0999,207.6,0.0003912539636363637,0.7042253521126771,0.3
61,0.666,0.1,207.6,0.0003904139636363637,0.7183098591549311,0.305
62,0.68,0.1,207.6,0.0003912539636363637,0.7183098591549311,0.31
63,0.67,0.0999,207.6,0.00039065396363636366,0.7042253521126771,0.315
64,0.682,0.1,207.6,0.00039137396363636367,0.7183098591549311,0.32
65,0.67,0.101,207.6,0.00039065396363636366,0.8591549295774665,0.325
66,0.67,0.0999,207.6,0.00039065396363636366,0.7042253521126771,0.33
67,0.682,0.101,207.6,0.00039137396363636367,0.8591549295774665,0.335
68,0.678,0.0998,207.6,0.0003911339636363637,0.6901408450704232,0.34
69,0.524,0.101,207.6,0.00038189396363636364,0.8591549295774665,0.34500000000000003
70,0.528,0.101,207.6,0.0003821339636363637,0.8591549295774665,0.35000000000000003
71,0.536,0.1,207.6,0.00038261396363636365,0.7183098591549311,0.355
72,0.528,0.101,207.6,0.0003821339636363637,0.8591549295774665,0.36
73,0.54,0.1,207.6,0.0003828539636363637,0.7183098591549311,0.365
74,0.54,0.1,207.6,0.0003828539636363637,0.7183098591549311,0.37
75,0.528,0.101,207.6,0.0003821339636363637,0.8591549295774665,0.375
76,0.528,0.101,207.6,0.0003821339636363637,0.8591549295774665,0.38
77,0.536,0.101,207.6,0.00038261396363636365,0.8591549295774665,0.385
78,0.528,0.101,207.6,0.0003821339636363637,0.8591549295774665,0.39
79,0.54,0.101,207.6,0.0003828539636363637,0.8591549295774665,0.395
80,0.54,0.101,207.6,0.0003828539636363637,0.8591549295774665,0.4
81,0.532,0.101,207.6,0.00038237396363636366,0.8591549295774665,0.405
82,0.54,0.101,207.6,0.0003828539636363637,0.8591549295774665,0.41000000000000003
83,0.532,0.101,207.6,0.00038237396363636366,0.8591549295774665,0.41500000000000004
84,0.528,0.101,207.6,0.0003821339636363637,0.8591549295774665,0.42
85,0.542,0.102,207.6,0.0003829739636363637,1.0,0.425
86,0.542,0.101,207.6,0.0003829739636363637,0.8591549295774665,0.43
87,0.528,0.102,207.6,0.0003821339636363637,1.0,0.435
88,0.528,0.101,207.6,0.0003821339636363637,0.8591549295774665,0.44
89,0.542,0.102,207.6,0.0003829739636363637,1.0,0.445
90,0.528,0.101,207.6,0.0003821339636363637,0.8591549295774665,0.45
91,0.54,0.101,207.6,0.0003828539636363637,0.8591549295774665,0.455
92,0.544,0.102,207.6,0.00038309396363636367,1.0,0.46
93,0.53,0.101,207.6,0.00038225396363636367,0.8591549295774665,0.465
94,0.53,0.101,207.6,0.00038225396363636367,0.8591549295774665,0.47000000000000003
95,0.542,0.101,207.6,0.0003829739636363637,0.8591549295774665,0.47500000000000003
96,0.544,0.101,207.6,0.00038309396363636367,0.8591549295774665,0.48
97,0.532,0.101,207.6,0.00038237396363636366,0.8591549295774665,0.485
98,0.544,0.102,207.6,0.00038309396363636367,1.0,0.49
99,0.53,0.101,207.6,0.00038225396363636367,0.8591549295774665,0.495
100,0.542,0.101,207.6,0.0003829739636363637,0.8591549295774665,0.5
101,0.528,0.101,207.6,0.0003821339636363637,0.8591549295774665,0.505
102,0.538,0.102,207.6,0.00038273396363636364,1.0,0.51
103,0.53,0.101,207.6,0.00038225396363636367,0.8591549295774665,0.515
104,0.532,0.101,207.6,0.00038237396363636366,0.8591549295774665,0.52
105,0.544,0.101,207.6,0.00038309396363636367,0.8591549295774665,0.525
106,0.544,0.101,207.6,0.00038309396363636367,0.8591549295774665,0.53
107,0.53,0.101,207.6,0.00038225396363636367,0.8591549295774665,0.535
108,0.546,0.101,207.6,0.00038321396363636366,0.8591549295774665,0.54
109,0.534,0.101,207.6,0.00038249396363636366,0.8591549295774665,0.545
110,0.532,0.101,207.6,0.00038237396363636366,0.8591549295774665,0.55
111,0.544,0.101,207.6,0.00038309396363636367,0.8591549295774665,0.555
112,0.534,0.101,207.6,0.00038249396363636366,0.8591549295774665,0.56
113,0.546,0.101,207.6,0.00038321396363636366,0.8591549295774665,0.5650000000000001
114,0.534,0.101,207.6,0.00038249396363636366,0.8591549295774665,0.5700000000000001
115,0.544,0.101,207.6,0.00038309396363636367,0.8591549295774665,0.5750000000000001
116,0.53,0.102,207.6,0.00038225396363636367,1.0,0.58
117,0.546,0.101,207.6,0.00038321396363636366,0.8591549295774665,0.585
118,0.544,0.101,207.6,0.00038309396363636367,0.8591549295774665,0.59
119,0.534,0.101,207.6,0.00038249396363636366,0.8591549295774665,0.595
120,0.536,0.101,207.6,0.00038261396363636365,0.8591549295774665,0.6
121,0.542,0.101,207.6,0.0003829739636363637,0.8591549295774665,0.605
122,0.534,0.101,207.6,0.00038249396363636366,0.8591549295774665,0.61
123,0.544,0.101,207.6,0.00038309396363636367,0.8591549295774665,0.615
124,0.536,0.101,207.6,0.00038261396363636365,0.8591549295774665,0.62
125,0.546,0.102,207.6,0.00038321396363636366,1.0,0.625
126,0.534,0.101,207.6,0.00038249396363636366,0.8591549295774665,0.63
127,0.546,0.101,207.6,0.00038321396363636366,0.8591549295774665,0.635
128,0.546,0.101,207.6,0.00038321396363636366,0.8591549295774665,0.64
129,0.534,0.101,207.6,0.00038249396363636366,0.8591549295774665,0.645
130,0.548,0.101,207.6,0.00038333396363636365,0.8591549295774665,0.65
131,0.536,0.101,207.6,0.00038261396363636365,0.8591549295774665,0.655
132,0.546,0.101,207.6,0.00038321396363636366,0.8591549295774665,0.66
133,0.536,0.101,207.6,0.00038261396363636365,0.8591549295774665,0.665
134,0.536,0.101,207.6,0.00038261396363636365,0.8591549295774665,0.67
135,0.548,0.101,207.6,0.00038333396363636365,0.8591549295774665,0.675
136,0.536,0.102,207.6,0.00038261396363636365,1.0,0.68
137,0.548,0.101,207.6,0.00038333396363636365,0.8591549295774665,0.685
138,0.546,0.101,207.6,0.00038321396363636366,0.8591549295774665,0.6900000000000001
139,0.54,0.101,207.6,0.0003828539636363637,0.8591549295774665,0.6950000000000001
140,0.54,0.101,207.6,0.0003828539636363637,0.8591549295774665,0.7000000000000001
141,0.55,0.102,207.6,0.00038345396363636365,1.0,0.705
142,0.548,0.101,207.6,0.00038333396363636365,0.8591549295774665,0.71
143,0.536,0.102,207.6,0.00038261396363636365,1.0,0.715
144,0.54,0.102,207.6,0.0003828539636363637,1.0,0.72
145,0.552,0.101,207.6,0.00038357396363636364,0.8591549295774665,0.725
146,0.538,0.102,207.6,0.00038273396363636364,1.0,0.73
147,0.552,0.101,207.6,0.00038357396363636364,0.8591549295774665,0.735
148,0.54,0.101,207.6,0.0003828539636363637,0.8591549295774665,0.74
149,0.55,0.101,207.6,0.00038345396363636365,0.8591549295774665,0.745
150,0.552,0.102,207.6,0.00038357396363636364,1.0,0.75
151,0.54,0.101,207.6,0.0003828539636363637,0.8591549295774665,0.755
152,0.54,0.101,207.6,0.0003828539636363637,0.8591549295774665,0.76
153,0.548,0.102,207.6,0.00038333396363636365,1.0,0.765
154,0.542,0.101,207.6,0.0003829739636363637,0.8591549295774665,0.77
155,0.548,0.101,207.6,0.00038333396363636365,0.8591549295774665,0.775
156,0.54,0.102,207.6,0.0003828539636363637,1.0,0.78
157,0.55,0.101,207.6,0.00038345396363636365,0.8591549295774665,0.785
158,0.552,0.101,207.6,0.00038357396363636364,0.8591549295774665,0.79
159,0.54,0.101,207.6,0.0003828539636363637,0.8591549295774665,0.795
160,0.55,0.101,207.6,0.00038345396363636365,0.8591549295774665,0.8
161,0.54,0.101,207.6,0.0003828539636363637,0.8591549295774665,0.805
162,0.538,0.101,207.6,0.00038273396363636364,0.8591549295774665,0.81
163,0.55,0.101,207.6,0.00038345396363636365,0.8591549295774665,0.8150000000000001
164,0.552,0.101,207.6,0.00038357396363636364,0.8591549295774665,0.8200000000000001
165,0.538,0.101,207.6,0.00038273396363636364,0.8591549295774665,0.8250000000000001
166,0.538,0.102,207.6,0.00038273396363636364,1.0,0.8300000000000001
167,0.552,0.101,207.6,0.00038357396363636364,0.8591549295774665,0.835
168,0.55,0.101,207.6,0.00038345396363636365,0.8591549295774665,0.84
169,0.54,0.101,207.6,0.0003828539636363637,0.8591549295774665,0.845
170,0.542,0.101,207.6,0.0003829739636363637,0.8591549295774665,0.85
171,0.546,0.101,207.6,0.00038321396363636366,0.8591549295774665,0.855
172,0.538,0.101,207.6,0.00038273396363636364,0.8591549295774665,0.86
173,0.548,0.101,207.6,0.00038333396363636365,0.8591549295774665,0.865
174,0.552,0.101,207.6,0.00038357396363636364,0.8591549295774665,0.87
175,0.538,0.101,207.6,0.00038273396363636364,0.8591549295774665,0.875
176,0.554,0.101,207.6,0.0003836939636363637,0.8591549295774665,0.88
177,0.54,0.101,207.6,0.0003828539636363637,0.8591549295774665,0.885
178,0.54,0.1,207.6,0.0003828539636363637,0.7183098591549311,0.89
179,0.554,0.101,207.6,0.0003836939636363637,0.8591549295774665,0.895
180,0.542,0.101,207.6,0.0003829739636363637,0.8591549295774665,0.9
181,0.554,0.101,207.6,0.0003836939636363637,0.8591549295774665,0.905
182,0.546,0.101,207.6,0.00038321396363636366,0.8591549295774665,0.91
